test_distance,sample_num,detected,x_tag,y_tag,z_tag,altitude,battery
2.0,201,1,0.3286354293532064,-0.4086055034418011,2.0008847253215825,0.77,42
2.0,202,1,0.3326440957515985,-0.40860187497362344,1.9950868771780228,0.77,42
2.0,203,1,0.3345706136099619,-0.40660940427326464,1.9954149535329464,0.77,42
2.0,204,1,0.3361784666991547,-0.40342878658621156,1.9957696993005636,0.77,42
2.0,205,1,0.3361690755291792,-0.3996159252653936,1.9975575118512345,0.78,42
2.0,206,1,0.3346781617627575,-0.3930471015263436,1.9979406784978002,0.79,42
2.0,207,1,0.33222675373055793,-0.3856926402104783,2.008714455680033,0.79,42
2.0,208,1,0.32848885106075626,-0.37893088292849525,2.015120344379572,0.8,42
2.0,209,1,0.3249746109341587,-0.37192549441170114,2.0256618593778706,0.8,42
2.0,210,1,0.32051167710445455,-0.36832392905899863,2.031895607070891,0.81,42
2.0,211,1,0.3201151554997478,-0.37006875424945407,2.0424835748378607,0.8,42
2.0,212,1,0.31835188863351316,-0.37593448117470957,2.0379259157796783,0.8,42
2.0,213,1,0.31831408573683356,-0.3829445371981885,2.0325046718532094,0.8,42
2.0,214,1,0.3195713538091738,-0.39018822411802917,2.0249724765215804,0.79,42
2.0,215,1,0.32502355092617147,-0.4026022492589282,2.023236150077986,0.78,42
2.0,216,1,0.32969344914358023,-0.4119939689616445,2.013337090083136,0.77,42
2.0,217,1,0.3353936332451146,-0.4210847827741988,2.00280362183565,0.76,42
2.0,218,1,0.33847837338074,-0.4233178833840109,2.0064680683071647,0.76,42
2.0,219,1,0.3377935332050368,-0.4178335023355268,2.0037091865484746,0.76,42
2.0,220,1,0.33421087138597755,-0.4022077751276389,2.0014469259032364,0.77,42
2.0,221,1,0.3332065777351483,-0.3931892794152813,2.011668875406174,0.78,42
2.0,222,1,0.33038177255258777,-0.38310616599621117,2.009083251063842,0.8,42
2.0,223,1,0.3298582314494475,-0.374641862139262,2.0157832102861466,0.8,42
2.0,224,1,0.3292089413507704,-0.36231465299910603,2.0139273756616087,0.81,42
2.0,225,1,0.330470599011631,-0.35366538353713384,2.018348335838718,0.82,42
2.0,226,1,0.333113351163633,-0.3435479124216406,2.021147190409921,0.82,42
2.0,227,1,0.33495947966065087,-0.33748116539255013,2.0192064376424175,0.83,42
2.0,228,1,0.33845662054693243,-0.33345380814676906,2.0269143164426824,0.83,42
2.0,229,1,0.3393908991423719,-0.3301743212840331,2.025411504421179,0.83,42
2.0,230,1,0.3408150861148515,-0.3294288627572799,2.0301719414817474,0.83,42
2.0,231,1,0.342172778601922,-0.32926063528932487,2.03755687155816,0.83,42
2.0,232,1,0.34226233397649364,-0.3316413563872981,2.0427569983514227,0.83,42
2.0,233,1,0.3413894890349509,-0.3327322020626916,2.04406021128379,0.83,42
2.0,234,1,0.3364524159493667,-0.335193688366884,2.034229541123432,0.83,42
2.0,235,1,0.33288467488597806,-0.33710898052831023,2.030484656094332,0.83,42
2.0,236,1,0.32984750118276246,-0.34021701245247293,2.032642961989243,0.83,42
2.0,237,1,0.32451360772443555,-0.3414765785036608,2.0321614891394733,0.82,42
2.0,238,1,0.3202863960684492,-0.34189698626428033,2.0280990712297795,0.82,42
2.0,239,1,0.3179793690452252,-0.3406563837383671,2.027160314272758,0.82,42
2.0,240,1,0.3155612151928024,-0.3358381102668482,2.0214659031427162,0.83,42
2.0,241,1,0.3139237959760374,-0.33192387467524237,2.0172317035565475,0.83,42
2.0,242,1,0.31278422455519217,-0.3286827427143548,2.0161790312934675,0.83,42
2.0,243,1,0.31160987877611546,-0.3237847812700004,2.0206586661590404,0.83,42
2.0,244,1,0.31147111943712213,-0.32206233000807666,2.0239202384597217,0.84,42
2.0,245,1,0.3111759728135785,-0.31882316744457107,2.023613917929132,0.84,42
2.0,246,1,0.3125176163007739,-0.31825630823984563,2.0266926844307176,0.84,42
2.0,247,1,0.3157673690693064,-0.32028128776567716,2.0269561556102738,0.84,42
2.0,248,1,0.3178403351314048,-0.3227766780548229,2.023929978124079,0.84,42
2.0,249,1,0.32027165472578517,-0.3258031727200732,2.021344629908373,0.83,42
2.0,250,1,0.3212196196271935,-0.3278245740480119,2.0152481070849935,0.83,41
2.0,251,1,0.3217858276361903,-0.33013860959912983,2.0104940843727293,0.83,41
2.0,252,1,0.3205902916838378,-0.3331157393121855,2.007973727113013,0.83,41
2.0,253,1,0.31915720555350613,-0.3333494860726261,2.007098889578471,0.83,41
2.0,254,1,0.3153966146502065,-0.3289807276701123,1.9998447371599526,0.83,41
2.0,255,1,0.3143469445731864,-0.32494689706123603,2.002255328419909,0.84,41
2.0,256,1,0.3126166223725002,-0.320238535931982,2.0007897498376286,0.84,41
2.0,257,1,0.3132307480063151,-0.31679782909100784,2.009756040765162,0.84,41
2.0,258,1,0.31321996869274044,-0.3111973766509831,2.013323524608277,0.84,41
